color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#15d445,900.637121,0.040000,36.025485
#4cd4bb,434.606038,0.040000,17.384242
#61d1be,432.936942,0.040000,17.317478
#630024,235.116300,0.040000,9.404652
#86bdb0,403.098007,0.040000,16.123920
#a1e06e,91.639649,0.040000,3.665586
#afeda4,332.424450,0.040000,13.296978
#b1d415,711.357377,0.040000,28.454295
#bf0d75,143.693486,0.040000,5.747739
#ce24d4,155.002380,0.040000,6.200095
#d41515,206.692148,0.040000,8.267686
#f2ec07,23.613623,0.040000,0.944545
