slice_index,original_filename,processed_filename,z_coordinate
1,bandicam 2026-08-10 03-02-59-226.png,z_0001_271.000000.png,271.000000
2,bandicam 2026-08-10 03-03-01-145.png,z_0002_272.000000.png,272.000000
3,bandicam 2026-08-10 03-03-02-594.png,z_0003_273.000000.png,273.000000
4,bandicam 2026-08-10 03-03-03-966.png,z_0004_274.000000.png,274.000000
5,bandicam 2026-08-10 03-03-05-340.png,z_0005_275.000000.png,275.000000
6,bandicam 2026-08-10 03-03-06-719.png,z_0006_276.000000.png,276.000000
7,bandicam 2026-08-10 03-03-08-119.png,z_0007_277.000000.png,277.000000
8,bandicam 2026-08-10 03-03-09-472.png,z_0008_278.000000.png,278.000000
9,bandicam 2026-08-10 03-03-10-813.png,z_0009_279.000000.png,279.000000
10,bandicam 2026-08-10 03-03-12-027.png,z_0010_280.000000.png,280.000000
11,bandicam 2026-08-10 03-03-13-255.png,z_0011_281.000000.png,281.000000
12,bandicam 2026-08-10 03-03-14-583.png,z_0012_282.000000.png,282.000000
13,bandicam 2026-08-10 03-03-15-773.png,z_0013_283.000000.png,283.000000
14,bandicam 2026-08-10 03-03-17-036.png,z_0014_284.000000.png,284.000000
15,bandicam 2026-08-10 03-03-18-219.png,z_0015_285.000000.png,285.000000
16,bandicam 2026-08-10 03-03-19-433.png,z_0016_286.000000.png,286.000000
17,bandicam 2026-08-10 03-03-20-604.png,z_0017_287.000000.png,287.000000
18,bandicam 2026-08-10 03-03-21-790.png,z_0018_288.000000.png,288.000000
19,bandicam 2026-08-10 03-03-23-001.png,z_0019_289.000000.png,289.000000
20,bandicam 2026-08-10 03-03-24-110.png,z_0020_290.000000.png,290.000000
21,bandicam 2026-08-10 03-03-25-334.png,z_0021_291.000000.png,291.000000
22,bandicam 2026-08-10 03-03-26-558.png,z_0022_292.000000.png,292.000000
23,bandicam 2026-08-10 03-03-27-712.png,z_0023_293.000000.png,293.000000
24,bandicam 2026-08-10 03-03-28-871.png,z_0024_294.000000.png,294.000000
25,bandicam 2026-08-10 03-03-29-953.png,z_0025_295.000000.png,295.000000
26,bandicam 2026-08-10 03-03-31-092.png,z_0026_296.000000.png,296.000000
27,bandicam 2026-08-10 03-03-32-254.png,z_0027_297.000000.png,297.000000
28,bandicam 2026-08-10 03-03-33-400.png,z_0028_298.000000.png,298.000000
29,bandicam 2026-08-10 03-03-34-555.png,z_0029_299.000000.png,299.000000
30,bandicam 2026-08-10 03-03-35-654.png,z_0030_300.000000.png,300.000000
31,bandicam 2026-08-10 03-03-36-641.png,z_0031_301.000000.png,301.000000
