color_hex,total_blob_count,total_perimeter_um,total_area_um2
#00701e,124,311.546297,14.019583
#0a7851,72,160.963429,7.243354
#15c1d4,526,1503.171915,67.642736
#2b8f76,933,2652.950439,119.382770
#2c6944,749,1676.882673,75.459720
#4e5fb6,73,119.260730,5.366733
#60bccc,602,1381.306072,62.158773
#74ff8a,438,1117.889926,50.305047
#780dd6,544,1256.617682,56.547796
#806a16,799,1877.520126,84.488406
#8695bd,1162,3606.331538,162.284919
#86b5eb,41,60.323755,2.714569
#881a96,524,1268.644859,57.089019
#93a0c7,4,0.245950,0.011068
#9486bd,689,2038.518214,91.733320
#94d4b5,185,462.577393,20.815983
#961a3f,854,1754.805543,78.966249
#9b33b5,289,598.350748,26.925784
#a3afd4,933,1887.420124,84.933906
#b086bd,406,786.248695,35.381191
#b54c73,790,2036.648921,91.649201
#c4b897,250,441.602745,19.872124
#c9a236,365,760.966067,34.243473
#cc2f2f,344,643.638264,28.963722
#d4ce15,618,1349.176826,60.712957
#e8a9bc,517,1298.653909,58.439426
#eb4934,749,1476.152149,66.426847
#eb7434,1120,3213.187921,144.593456
#f79d79,505,1272.363860,57.256374
#ff8308,317,840.281226,37.812655
#ffb0ba,1210,3188.351541,143.475819
