color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#00701e,53.715501,0.045000,2.417198
#0a7851,18.735350,0.045000,0.843091
#15c1d4,241.595463,0.045000,10.871796
#2b8f76,461.393667,0.045000,20.762715
#2c6944,227.781664,0.045000,10.250175
#4e5fb6,12.490548,0.045000,0.562075
#60bccc,180.636106,0.045000,8.128625
#74ff8a,177.061437,0.045000,7.967765
#780dd6,157.611059,0.045000,7.092498
#806a16,283.498110,0.045000,12.757415
#8695bd,730.446597,0.045000,32.870097
#86b5eb,4.751418,0.045000,0.213814
#881a96,180.558129,0.045000,8.125116
#93a0c7,0.001890,0.045000,0.000085
#9486bd,374.660681,0.045000,16.859731
#94d4b5,62.114839,0.045000,2.795168
#961a3f,203.196125,0.045000,9.143826
#9b33b5,79.657372,0.045000,3.584582
#a3afd4,220.853970,0.045000,9.938429
#b086bd,97.500000,0.045000,4.387500
#b54c73,292.859168,0.045000,13.178663
#c4b897,42.929112,0.045000,1.931810
#c9a236,108.216919,0.045000,4.869761
#cc2f2f,81.524575,0.045000,3.668606
#d4ce15,205.864839,0.045000,9.263918
#e8a9bc,179.655009,0.045000,8.084475
#eb4934,170.365312,0.045000,7.666439
#eb7434,566.089792,0.045000,25.474041
#f79d79,192.403119,0.045000,8.658140
#ff8308,134.245747,0.045000,6.041059
#ffb0ba,543.812854,0.045000,24.471578
