color_hex,total_blob_count,total_perimeter_um,total_area_um2
#00ffaa,314,625.465701,28.145957
#1f1945,555,1558.137209,70.116174
#2600ff,839,1550.657500,69.779588
#2727e8,270,840.801283,37.836058
#388c00,216,397.158756,17.872144
#44ff00,482,1257.627663,56.593245
#5b8f73,165,266.703187,12.001643
#687550,1001,2507.107792,112.819851
#86b5eb,1013,3479.604264,156.582192
#8f7cfc,292,699.876818,31.494457
#9486bd,717,2289.799964,103.040998
#9786eb,1069,2284.006485,102.780292
#9b33b5,274,754.470044,33.951152
#9c0027,157,331.618535,14.922834
#b0d4ff,503,1285.080905,57.828641
#c003ff,504,1134.293660,51.043215
#d0ebf9,304,493.373899,22.201825
#d432ed,218,531.736621,23.928148
#db7770,495,1328.251697,59.771326
#fabf5a,622,1644.699095,74.011459
#ff0055,1025,3043.297510,136.948388
