color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#030b9e,172.854810,0.045000,7.778466
#157d0b,92.445260,0.045000,4.160037
#377e94,154.874740,0.045000,6.969363
#4a7840,41.129689,0.045000,1.850836
#74b59b,99.513218,0.045000,4.478095
#75aaff,142.476540,0.045000,6.411444
#8f82c4,345.585052,0.045000,15.551327
#96d4ba,380.277093,0.045000,17.112469
#9e033c,166.504360,0.045000,7.492696
#a2aee8,323.323599,0.045000,14.549562
#a8329d,1159.370657,0.045000,52.171680
#a9ebc4,108.716263,0.045000,4.892232
#aeeff2,346.322491,0.045000,15.584512
#b36994,158.421176,0.045000,7.128953
#b54136,350.268789,0.045000,15.762096
#b5748e,220.895502,0.045000,9.940298
#b57a36,258.959585,0.045000,11.653181
#cacc5e,124.512664,0.045000,5.603070
#cc1f00,309.238754,0.045000,13.915744
#f06e8a,258.547266,0.045000,11.634627
