color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ff6ee9,47.573907,227.362551,4.779144
#6b3f08,42.621247,184.571126,4.330496
#266645,38.332956,169.186868,4.413614
#1e37d7,36.215801,211.976147,5.853140
#ff8817,34.067927,156.421404,4.591456
#b03ff3,27.297336,138.359427,5.068605
#a0b78a,27.024739,169.573616,6.274755
#ff270f,26.025889,138.658046,5.327697
#4a1781,23.792587,124.806875,5.245620
#b07c12,23.239040,110.539723,4.756639
#e6049f,19.725434,116.804334,5.921509
#a3f50a,19.226373,99.628528,5.181868
#ce7d9c,18.754107,119.798393,6.387848
#268ba3,18.713579,111.126169,5.938264
#ef3c4f,17.968827,90.501482,5.036583
#01fd57,17.286633,84.909370,4.911851
#1a64b4,14.766945,97.015534,6.569777
#9ed3de,12.986570,85.877912,6.612825
#e2bc22,12.271472,74.415733,6.064124
#247a4f,12.118441,92.218853,7.609795
#d6d292,11.165051,58.994451,5.283850
#dd5616,11.044700,56.616032,5.126081
#8b0dab,9.720224,65.540529,6.742697
#350450,8.977603,60.686554,6.759773
#42ddf5,7.193361,59.463205,8.266401
#c0c811,6.088285,40.884681,6.715303
#fa4cb5,5.539055,37.144094,6.705854
#007e86,5.361864,39.062039,7.285160
#d6c6c6,4.145967,34.902297,8.418373
#70d9ce,3.825106,29.283265,7.655543
#3e5c7b,3.805599,31.193697,8.196790
#b70d21,2.812017,25.158558,8.946802
