color_hex,total_blob_count,total_perimeter_um,total_area_um2
#000080,575,1477.139720,66.471287
#008000,680,1620.427248,72.919226
#008080,41,4.101680,0.184576
#00ff80,907,2061.290545,92.758075
#00ffff,1675,3865.044620,173.927008
#20b2aa,587,1216.232511,54.730463
#4363d8,379,872.718577,39.272336
#5ac1d9,557,1805.377199,81.241974
#800000,1125,3222.982438,145.034210
#808000,200,365.221963,16.434988
#8080ff,448,912.602869,41.067129
#80ff80,48,5.532423,0.248959
#822072,670,1464.908241,65.920871
#8a2be2,924,1951.469107,87.816110
#8b99c5,264,600.939162,27.042262
#f58231,477,711.586968,32.021414
#ff00ff,3272,10075.179070,453.383058
#ff1493,168,519.689773,23.386040
#ff4500,440,918.619537,41.337879
#ff8000,594,1442.301807,64.903581
#ff8080,56,5.651075,0.254298
#ffd700,1,0.072524,0.003264
#ffff00,687,1821.460442,81.965720
