color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#000080,245.504274,0.045000,11.047692
#008000,226.374096,0.045000,10.186834
#008080,0.041420,0.045000,0.001864
#00ff80,322.160421,0.045000,14.497219
#00ffff,616.890861,0.045000,27.760089
#20b2aa,162.976989,0.045000,7.333964
#4363d8,125.687705,0.045000,5.655947
#5ac1d9,391.996055,0.045000,17.639822
#800000,582.692308,0.045000,26.221154
#808000,41.917160,0.045000,1.886272
#8080ff,131.048652,0.045000,5.897189
#80ff80,0.057857,0.045000,0.002604
#822072,186.126233,0.045000,8.375680
#8a2be2,244.929652,0.045000,11.021834
#8b99c5,105.440500,0.045000,4.744822
#f58231,75.305062,0.045000,3.388728
#ff00ff,1890.600263,0.045000,85.077012
#ff1493,81.936226,0.045000,3.687130
#ff4500,104.947403,0.045000,4.722633
#ff8000,226.337278,0.045000,10.185178
#ff8080,0.057199,0.045000,0.002574
#ffd700,0.000657,0.045000,0.000030
#ffff00,319.343195,0.045000,14.370444
