color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ff00ff,85.077012,453.383058,5.329090
#00ffff,27.760089,173.927008,6.265362
#800000,26.221154,145.034210,5.531191
#5ac1d9,17.639822,81.241974,4.605601
#00ff80,14.497219,92.758075,6.398336
#ffff00,14.370444,81.965720,5.703771
#000080,11.047692,66.471287,6.016758
#8a2be2,11.021834,87.816110,7.967468
#008000,10.186834,72.919226,7.158183
#ff8000,10.185178,64.903581,6.372356
#822072,8.375680,65.920871,7.870510
#20b2aa,7.333964,54.730463,7.462603
#8080ff,5.897189,41.067129,6.963848
#4363d8,5.655947,39.272336,6.943547
#8b99c5,4.744822,27.042262,5.699321
#ff4500,4.722633,41.337879,8.753142
#ff1493,3.687130,23.386040,6.342613
#f58231,3.388728,32.021414,9.449390
#808000,1.886272,16.434988,8.712947
#80ff80,0.002604,0.248959,95.606375
#ff8080,0.002574,0.254298,98.794872
#008080,0.001864,0.184576,99.021459
#ffd700,0.000030,0.003264,108.800000
