slice_file,color_hex,area_px,cross_section_area_um2,slice_volume_um3,slice_thickness_um
z_0001_345.000000.png,#4363d8,2005,1.318212,0.059320,0.045000
z_0002_346.004115.png,#4363d8,1967,1.293228,0.058195,0.045000
z_0003_347.008230.png,#4363d8,1973,1.297173,0.058373,0.045000
z_0004_348.012346.png,#4363d8,1897,1.247206,0.056124,0.045000
z_0005_349.016461.png,#4363d8,1797,1.181460,0.053166,0.045000
z_0006_350.020576.png,#4363d8,1638,1.076923,0.048462,0.045000
z_0007_351.024691.png,#4363d8,1060,0.696910,0.031361,0.045000
z_0008_352.028807.png,#4363d8,1345,0.884287,0.039793,0.045000
z_0008_352.028807.png,#822072,655,0.430638,0.019379,0.045000
z_0008_352.028807.png,#f58231,466,0.306377,0.013787,0.045000
z_0009_353.032922.png,#4363d8,1215,0.798817,0.035947,0.045000
z_0009_353.032922.png,#822072,843,0.554241,0.024941,0.045000
z_0009_353.032922.png,#f58231,460,0.302433,0.013609,0.045000
z_0010_354.037037.png,#4363d8,1154,0.758711,0.034142,0.045000
z_0010_354.037037.png,#822072,1000,0.657462,0.029586,0.045000
z_0010_354.037037.png,#f58231,478,0.314267,0.014142,0.045000
z_0011_355.041152.png,#4363d8,1017,0.668639,0.030089,0.045000
z_0011_355.041152.png,#f58231,515,0.338593,0.015237,0.045000
z_0012_356.045267.png,#4363d8,665,0.437212,0.019675,0.045000
z_0012_356.045267.png,#f58231,628,0.412886,0.018580,0.045000
z_0013_357.049383.png,#4363d8,401,0.263642,0.011864,0.045000
z_0013_357.049383.png,#f58231,691,0.454306,0.020444,0.045000
z_0013_357.049383.png,#ff00ff,343,0.225510,0.010148,0.045000
z_0014_358.053498.png,#4363d8,397,0.261012,0.011746,0.045000
z_0014_358.053498.png,#822072,45,0.029586,0.001331,0.045000
z_0014_358.053498.png,#f58231,811,0.533202,0.023994,0.045000
z_0014_358.053498.png,#ff00ff,1151,0.756739,0.034053,0.045000
z_0015_359.057613.png,#4363d8,421,0.276792,0.012456,0.045000
z_0015_359.057613.png,#822072,80,0.052597,0.002367,0.045000
z_0015_359.057613.png,#f58231,939,0.617357,0.027781,0.045000
z_0015_359.057613.png,#ff00ff,2163,1.422091,0.063994,0.045000
z_0016_360.061728.png,#4363d8,432,0.284024,0.012781,0.045000
z_0016_360.061728.png,#822072,105,0.069034,0.003107,0.045000
z_0016_360.061728.png,#f58231,1149,0.755424,0.033994,0.045000
z_0016_360.061728.png,#ff00ff,2707,1.779750,0.080089,0.045000
z_0017_361.065844.png,#4363d8,434,0.285339,0.012840,0.045000
z_0017_361.065844.png,#822072,129,0.084813,0.003817,0.045000
z_0017_361.065844.png,#f58231,1274,0.837607,0.037692,0.045000
z_0017_361.065844.png,#ff00ff,3104,2.040763,0.091834,0.045000
z_0018_362.069959.png,#00ffff,31,0.020381,0.000917,0.045000
z_0018_362.069959.png,#4363d8,414,0.272189,0.012249,0.045000
z_0018_362.069959.png,#822072,211,0.138725,0.006243,0.045000
z_0018_362.069959.png,#f58231,1384,0.909928,0.040947,0.045000
z_0018_362.069959.png,#ff00ff,3450,2.268245,0.102071,0.045000
z_0019_363.074074.png,#00ffff,141,0.092702,0.004172,0.045000
z_0019_363.074074.png,#4363d8,413,0.271532,0.012219,0.045000
z_0019_363.074074.png,#822072,226,0.148586,0.006686,0.045000
z_0019_363.074074.png,#f58231,1496,0.983563,0.044260,0.045000
z_0019_363.074074.png,#ff00ff,3779,2.484550,0.111805,0.045000
z_0020_364.078189.png,#00ffff,197,0.129520,0.005828,0.045000
z_0020_364.078189.png,#4363d8,409,0.268902,0.012101,0.045000
z_0020_364.078189.png,#822072,1927,1.266930,0.057012,0.045000
z_0020_364.078189.png,#f58231,1577,1.036818,0.046657,0.045000
z_0020_364.078189.png,#ff00ff,4123,2.710717,0.121982,0.045000
z_0021_365.082305.png,#00ffff,236,0.155161,0.006982,0.045000
z_0021_365.082305.png,#4363d8,391,0.257068,0.011568,0.045000
z_0021_365.082305.png,#822072,2132,1.401709,0.063077,0.045000
z_0021_365.082305.png,#8a2be2,30,0.019724,0.000888,0.045000
z_0021_365.082305.png,#f58231,1694,1.113741,0.050118,0.045000
z_0021_365.082305.png,#ff00ff,4506,2.962525,0.133314,0.045000
z_0022_366.086420.png,#00ffff,240,0.157791,0.007101,0.045000
z_0022_366.086420.png,#4363d8,391,0.257068,0.011568,0.045000
z_0022_366.086420.png,#822072,2152,1.414859,0.063669,0.045000
z_0022_366.086420.png,#8a2be2,30,0.019724,0.000888,0.045000
z_0022_366.086420.png,#f58231,1700,1.117686,0.050296,0.045000
z_0022_366.086420.png,#ff00ff,4508,2.963840,0.133373,0.045000
z_0023_367.090535.png,#00ffff,395,0.259698,0.011686,0.045000
z_0023_367.090535.png,#4363d8,314,0.206443,0.009290,0.045000
z_0023_367.090535.png,#822072,2399,1.577252,0.070976,0.045000
z_0023_367.090535.png,#8a2be2,139,0.091387,0.004112,0.045000
z_0023_367.090535.png,#f58231,1791,1.177515,0.052988,0.045000
z_0023_367.090535.png,#ff00ff,5174,3.401709,0.153077,0.045000
z_0024_368.094650.png,#00ffff,463,0.304405,0.013698,0.045000
z_0024_368.094650.png,#4363d8,256,0.168310,0.007574,0.045000
z_0024_368.094650.png,#822072,2529,1.662722,0.074822,0.045000
z_0024_368.094650.png,#8a2be2,195,0.128205,0.005769,0.045000
z_0024_368.094650.png,#f58231,1846,1.213675,0.054615,0.045000
z_0024_368.094650.png,#ff00ff,5396,3.547666,0.159645,0.045000
z_0025_369.098765.png,#00ffff,546,0.358974,0.016154,0.045000
z_0025_369.098765.png,#4363d8,263,0.172913,0.007781,0.045000
z_0025_369.098765.png,#822072,2689,1.767916,0.079556,0.045000
z_0025_369.098765.png,#8a2be2,290,0.190664,0.008580,0.045000
z_0025_369.098765.png,#f58231,1900,1.249178,0.056213,0.045000
z_0025_369.098765.png,#ff00ff,5621,3.695595,0.166302,0.045000
z_0026_370.102881.png,#00ffff,728,0.478632,0.021538,0.045000
z_0026_370.102881.png,#4363d8,253,0.166338,0.007485,0.045000
z_0026_370.102881.png,#822072,2780,1.827745,0.082249,0.045000
z_0026_370.102881.png,#8a2be2,358,0.235371,0.010592,0.045000
z_0026_370.102881.png,#f58231,1966,1.292571,0.058166,0.045000
z_0026_370.102881.png,#ff00ff,5839,3.838922,0.172751,0.045000
z_0027_371.106996.png,#00ffff,846,0.556213,0.025030,0.045000
z_0027_371.106996.png,#4363d8,265,0.174227,0.007840,0.045000
z_0027_371.106996.png,#822072,2813,1.849441,0.083225,0.045000
z_0027_371.106996.png,#8a2be2,452,0.297173,0.013373,0.045000
z_0027_371.106996.png,#f58231,2001,1.315582,0.059201,0.045000
z_0027_371.106996.png,#ff00ff,6092,4.005260,0.180237,0.045000
z_0028_372.111111.png,#00ffff,1055,0.693623,0.031213,0.045000
z_0028_372.111111.png,#4363d8,250,0.164366,0.007396,0.045000
z_0028_372.111111.png,#822072,2916,1.917160,0.086272,0.045000
z_0028_372.111111.png,#8a2be2,506,0.332676,0.014970,0.045000
z_0028_372.111111.png,#f58231,1949,1.281394,0.057663,0.045000
