slice_index,original_filename,processed_filename,z_coordinate
1,bandicam 2026-09-09 03-00-08-850.png,z_0001_345.000000.png,345.000000
2,bandicam 2026-09-09 03-00-09-616.png,z_0002_346.004115.png,346.004115
3,bandicam 2026-09-09 03-00-10-415.png,z_0003_347.008230.png,347.008230
4,bandicam 2026-09-09 03-00-11-293.png,z_0004_348.012346.png,348.012346
5,bandicam 2026-09-09 03-00-12-026.png,z_0005_349.016461.png,349.016461
6,bandicam 2026-09-09 03-00-12-814.png,z_0006_350.020576.png,350.020576
7,bandicam 2026-09-09 03-00-13-588.png,z_0007_351.024691.png,351.024691
8,bandicam 2026-09-09 03-00-14-340.png,z_0008_352.028807.png,352.028807
9,bandicam 2026-09-09 03-00-15-244.png,z_0009_353.032922.png,353.032922
10,bandicam 2026-09-09 03-00-16-052.png,z_0010_354.037037.png,354.037037
11,bandicam 2026-09-09 03-00-16-855.png,z_0011_355.041152.png,355.041152
12,bandicam 2026-09-09 03-00-17-714.png,z_0012_356.045267.png,356.045267
13,bandicam 2026-09-09 03-00-18-498.png,z_0013_357.049383.png,357.049383
14,bandicam 2026-09-09 03-00-19-294.png,z_0014_358.053498.png,358.053498
15,bandicam 2026-09-09 03-00-20-087.png,z_0015_359.057613.png,359.057613
16,bandicam 2026-09-09 03-00-20-869.png,z_0016_360.061728.png,360.061728
17,bandicam 2026-09-09 03-00-21-602.png,z_0017_361.065844.png,361.065844
18,bandicam 2026-09-09 03-00-22-453.png,z_0018_362.069959.png,362.069959
19,bandicam 2026-09-09 03-00-23-194.png,z_0019_363.074074.png,363.074074
20,bandicam 2026-09-09 03-00-24-004.png,z_0020_364.078189.png,364.078189
21,bandicam 2026-09-09 03-00-24-715.png,z_0021_365.082305.png,365.082305
22,bandicam 2026-09-09 03-00-25-469.png,z_0022_366.086420.png,366.086420
23,bandicam 2026-09-09 03-00-26-128.png,z_0023_367.090535.png,367.090535
24,bandicam 2026-09-09 03-00-26-902.png,z_0024_368.094650.png,368.094650
25,bandicam 2026-09-09 03-00-27-571.png,z_0025_369.098765.png,369.098765
26,bandicam 2026-09-09 03-00-28-326.png,z_0026_370.102881.png,370.102881
27,bandicam 2026-09-09 03-00-29-012.png,z_0027_371.106996.png,371.106996
28,bandicam 2026-09-09 03-00-29-744.png,z_0028_372.111111.png,372.111111
29,bandicam 2026-09-09 03-00-30-461.png,z_0029_373.115226.png,373.115226
30,bandicam 2026-09-09 03-00-31-113.png,z_0030_374.119342.png,374.119342
31,bandicam 2026-09-09 03-00-31-799.png,z_0031_375.123457.png,375.123457
32,bandicam 2026-09-09 03-00-32-473.png,z_0032_376.127572.png,376.127572
33,bandicam 2026-09-09 03-00-33-140.png,z_0033_377.131687.png,377.131687
34,bandicam 2026-09-09 03-00-33-826.png,z_0034_378.135802.png,378.135802
35,bandicam 2026-09-09 03-00-34-528.png,z_0035_379.139918.png,379.139918
36,bandicam 2026-09-09 03-00-35-248.png,z_0036_380.144033.png,380.144033
37,bandicam 2026-09-09 03-00-35-929.png,z_0037_381.148148.png,381.148148
38,bandicam 2026-09-09 03-00-36-640.png,z_0038_382.152263.png,382.152263
39,bandicam 2026-09-09 03-00-37-513.png,z_0039_383.156379.png,383.156379
40,bandicam 2026-09-09 03-00-38-402.png,z_0040_384.160494.png,384.160494
41,bandicam 2026-09-09 03-00-40-317.png,z_0041_385.164609.png,385.164609
42,bandicam 2026-09-09 03-00-42-070.png,z_0042_386.168724.png,386.168724
43,bandicam 2026-09-09 03-00-43-217.png,z_0043_387.172840.png,387.172840
44,bandicam 2026-09-09 03-00-44-113.png,z_0044_388.176955.png,388.176955
45,bandicam 2026-09-09 03-00-44-959.png,z_0045_389.181070.png,389.181070
46,bandicam 2026-09-09 03-00-45-881.png,z_0046_390.185185.png,390.185185
47,bandicam 2026-09-09 03-00-46-767.png,z_0047_391.189300.png,391.189300
48,bandicam 2026-09-09 03-00-47-624.png,z_0048_392.193416.png,392.193416
49,bandicam 2026-09-09 03-00-48-606.png,z_0049_393.197531.png,393.197531
50,bandicam 2026-09-09 03-00-49-596.png,z_0050_394.201646.png,394.201646
51,bandicam 2026-09-09 03-00-50-525.png,z_0051_395.205761.png,395.205761
52,bandicam 2026-09-09 03-00-51-445.png,z_0052_396.209877.png,396.209877
53,bandicam 2026-09-09 03-00-52-314.png,z_0053_397.213992.png,397.213992
54,bandicam 2026-09-09 03-00-53-204.png,z_0054_398.218107.png,398.218107
55,bandicam 2026-09-09 03-00-54-051.png,z_0055_399.222222.png,399.222222
56,bandicam 2026-09-09 03-00-54-968.png,z_0056_400.226337.png,400.226337
57,bandicam 2026-09-09 03-00-55-976.png,z_0057_401.230453.png,401.230453
58,bandicam 2026-09-09 03-00-56-849.png,z_0058_402.234568.png,402.234568
59,bandicam 2026-09-09 03-00-57-798.png,z_0059_403.238683.png,403.238683
60,bandicam 2026-09-09 03-00-58-848.png,z_0060_404.242798.png,404.242798
61,bandicam 2026-09-09 03-00-59-934.png,z_0061_405.246914.png,405.246914
62,bandicam 2026-09-09 03-01-00-921.png,z_0062_406.251029.png,406.251029
63,bandicam 2026-09-09 03-01-02-010.png,z_0063_407.255144.png,407.255144
64,bandicam 2026-09-09 03-01-03-081.png,z_0064_408.259259.png,408.259259
65,bandicam 2026-09-09 03-01-04-148.png,z_0065_409.263374.png,409.263374
66,bandicam 2026-09-09 03-01-05-508.png,z_0066_410.267490.png,410.267490
67,bandicam 2026-09-09 03-01-06-530.png,z_0067_411.271605.png,411.271605
68,bandicam 2026-09-09 03-01-07-656.png,z_0068_412.275720.png,412.275720
69,bandicam 2026-09-09 03-01-08-569.png,z_0069_413.279835.png,413.279835
70,bandicam 2026-09-09 03-01-09-894.png,z_0070_414.283951.png,414.283951
71,bandicam 2026-09-09 03-01-10-928.png,z_0071_415.288066.png,415.288066
72,bandicam 2026-09-09 03-01-11-858.png,z_0072_416.292181.png,416.292181
73,bandicam 2026-09-09 03-01-13-113.png,z_0073_417.296296.png,417.296296
74,bandicam 2026-09-09 03-01-14-441.png,z_0074_418.300412.png,418.300412
75,bandicam 2026-09-09 03-01-15-582.png,z_0075_419.304527.png,419.304527
76,bandicam 2026-09-09 03-01-16-840.png,z_0076_420.308642.png,420.308642
77,bandicam 2026-09-09 03-01-18-141.png,z_0077_421.312757.png,421.312757
78,bandicam 2026-09-09 03-01-19-331.png,z_0078_422.316872.png,422.316872
79,bandicam 2026-09-09 03-01-20-537.png,z_0079_423.320988.png,423.320988
80,bandicam 2026-09-09 03-01-21-939.png,z_0080_424.325103.png,424.325103
81,bandicam 2026-09-09 03-01-23-356.png,z_0081_425.329218.png,425.329218
82,bandicam 2026-09-09 03-01-24-589.png,z_0082_426.333333.png,426.333333
83,bandicam 2026-09-09 03-01-25-797.png,z_0083_427.337449.png,427.337449
84,bandicam 2026-09-09 03-01-27-013.png,z_0084_428.341564.png,428.341564
85,bandicam 2026-09-09 03-01-28-139.png,z_0085_429.345679.png,429.345679
86,bandicam 2026-09-09 03-01-29-288.png,z_0086_430.349794.png,430.349794
87,bandicam 2026-09-09 03-01-30-364.png,z_0087_431.353909.png,431.353909
88,bandicam 2026-09-09 03-01-31-500.png,z_0088_432.358025.png,432.358025
89,bandicam 2026-09-09 03-01-32-670.png,z_0089_433.362140.png,433.362140
90,bandicam 2026-09-09 03-01-33-791.png,z_0090_434.366255.png,434.366255
91,bandicam 2026-09-09 03-01-34-914.png,z_0091_435.370370.png,435.370370
92,bandicam 2026-09-09 03-01-36-001.png,z_0092_436.374486.png,436.374486
93,bandicam 2026-09-09 03-01-37-116.png,z_0093_437.378601.png,437.378601
94,bandicam 2026-09-09 03-01-38-223.png,z_0094_438.382716.png,438.382716
95,bandicam 2026-09-09 03-01-39-280.png,z_0095_439.386831.png,439.386831
96,bandicam 2026-09-09 03-01-40-439.png,z_0096_440.390947.png,440.390947
97,bandicam 2026-09-09 03-01-41-575.png,z_0097_441.395062.png,441.395062
98,bandicam 2026-09-09 03-01-42-722.png,z_0098_442.399177.png,442.399177
99,bandicam 2026-09-09 03-01-43-967.png,z_0099_443.403292.png,443.403292
100,bandicam 2026-09-09 03-01-45-271.png,z_0100_444.407407.png,444.407407
101,bandicam 2026-09-09 03-01-46-533.png,z_0101_445.411523.png,445.411523
102,bandicam 2026-09-09 03-01-47-779.png,z_0102_446.415638.png,446.415638
103,bandicam 2026-09-09 03-01-48-930.png,z_0103_447.419753.png,447.419753
104,bandicam 2026-09-09 03-01-50-045.png,z_0104_448.423868.png,448.423868
105,bandicam 2026-09-09 03-01-51-230.png,z_0105_449.427984.png,449.427984
