color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#8000ff,86.586912,454.828473,5.252855
#ffd700,37.031184,184.265837,4.975964
#008080,31.373208,158.430556,5.049868
#3cb44b,25.880688,100.587197,3.886574
#ff0080,25.104672,127.124907,5.063795
#ff8080,22.721112,125.192465,5.509962
#9acd32,22.110768,121.220185,5.482405
#6a5acd,15.845400,131.520900,8.300257
#dc143c,15.805008,106.147123,6.716044
#b22222,15.603840,84.849454,5.437729
#0080ff,15.429096,63.141232,4.092348
#bcf60c,12.605184,62.903495,4.990288
#e6194b,11.915712,98.592257,8.274139
#0082c8,10.773576,61.489716,5.707456
#00fa9a,9.401400,73.311993,7.797987
#8080ff,8.874504,60.902025,6.862584
#40e0d0,7.494120,52.565671,7.014255
#1e90ff,6.749424,35.948776,5.326199
#ed4ea9,6.561072,52.187976,7.954184
#80ff80,6.201216,43.294212,6.981568
#0000ff,6.085440,49.615721,8.153185
#ff69b4,6.058512,41.605014,6.867200
#911eb4,5.981328,51.894518,8.676086
#fabebe,5.346288,42.689268,7.984843
#800080,4.098816,28.144458,6.866485
#f032e6,3.123792,26.214571,8.391907
#a52a2a,2.357496,19.704118,8.358071
#46f0f0,1.603872,14.840134,9.252692
#4169e1,1.437264,12.328019,8.577421
