color_hex,total_blob_count,total_perimeter_um,total_area_um2
#008000,806,1682.751395,75.723813
#1f618d,1786,4862.026819,218.791207
#20b2aa,309,606.740439,27.303320
#58d68d,182,351.706906,15.826811
#5d6d7e,904,1917.998012,86.309911
#5dade2,496,1020.739267,45.933267
#7d6608,1012,2483.673289,111.765298
#7e5109,620,1432.215461,64.449696
#808000,17,3.344747,0.150514
#aed6f1,175,449.206288,20.214283
#d7bde2,563,1633.908752,73.525894
#eb984e,597,1245.711610,56.057022
#f9e79f,591,1167.348178,52.530668
#ff8000,223,536.442734,24.139923
#ffff00,641,1679.144196,75.561489
