slice_file,color_hex,area_px,cross_section_area_um2,slice_volume_um3,slice_thickness_um
z_0001_449.000000.png,#008000,741,0.556202,0.025029,0.045000
z_0001_449.000000.png,#1f618d,1159,0.869957,0.039148,0.045000
z_0001_449.000000.png,#5dade2,2967,2.227059,0.100218,0.045000
z_0001_449.000000.png,#7d6608,1132,0.849690,0.038236,0.045000
z_0001_449.000000.png,#aed6f1,2,0.001501,0.000068,0.045000
z_0002_450.011583.png,#008000,936,0.702571,0.031616,0.045000
z_0002_450.011583.png,#1f618d,1201,0.901482,0.040567,0.045000
z_0002_450.011583.png,#5dade2,2891,2.170013,0.097651,0.045000
z_0002_450.011583.png,#7d6608,1159,0.869957,0.039148,0.045000
z_0002_450.011583.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0003_451.023166.png,#008000,335,0.251454,0.011315,0.045000
z_0003_451.023166.png,#1f618d,1215,0.911991,0.041040,0.045000
z_0003_451.023166.png,#5dade2,2818,2.115219,0.095185,0.045000
z_0003_451.023166.png,#7d6608,1143,0.857947,0.038608,0.045000
z_0004_452.034749.png,#008000,320,0.240195,0.010809,0.045000
z_0004_452.034749.png,#1f618d,1227,0.920998,0.041445,0.045000
z_0004_452.034749.png,#5dade2,2626,1.971102,0.088700,0.045000
z_0004_452.034749.png,#7d6608,1142,0.857196,0.038574,0.045000
z_0004_452.034749.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0005_453.046332.png,#008000,285,0.213924,0.009627,0.045000
z_0005_453.046332.png,#1f618d,1274,0.956277,0.043032,0.045000
z_0005_453.046332.png,#5dade2,2491,1.869769,0.084140,0.045000
z_0005_453.046332.png,#7d6608,1123,0.842935,0.037932,0.045000
z_0005_453.046332.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0006_454.057915.png,#008000,262,0.196660,0.008850,0.045000
z_0006_454.057915.png,#1f618d,1299,0.975042,0.043877,0.045000
z_0006_454.057915.png,#5dade2,2288,1.717395,0.077283,0.045000
z_0006_454.057915.png,#7d6608,1142,0.857196,0.038574,0.045000
z_0006_454.057915.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0007_455.069498.png,#008000,250,0.187652,0.008444,0.045000
z_0007_455.069498.png,#1f618d,1330,0.998311,0.044924,0.045000
z_0007_455.069498.png,#5dade2,2200,1.651342,0.074310,0.045000
z_0007_455.069498.png,#7d6608,1136,0.852693,0.038371,0.045000
z_0007_455.069498.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0008_456.081081.png,#008000,238,0.178645,0.008039,0.045000
z_0008_456.081081.png,#1f618d,1339,1.005067,0.045228,0.045000
z_0008_456.081081.png,#5dade2,2026,1.520736,0.068433,0.045000
z_0008_456.081081.png,#7d6608,1172,0.879715,0.039587,0.045000
z_0008_456.081081.png,#aed6f1,2,0.001501,0.000068,0.045000
z_0009_457.092664.png,#008000,242,0.181648,0.008174,0.045000
z_0009_457.092664.png,#1f618d,1341,1.006568,0.045296,0.045000
z_0009_457.092664.png,#5dade2,2018,1.514731,0.068163,0.045000
z_0009_457.092664.png,#7d6608,1167,0.875962,0.039418,0.045000
z_0009_457.092664.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0010_458.104247.png,#008000,595,0.446613,0.020098,0.045000
z_0010_458.104247.png,#1f618d,1492,1.119910,0.050396,0.045000
z_0010_458.104247.png,#5dade2,1672,1.255020,0.056476,0.045000
z_0010_458.104247.png,#7d6608,1227,0.920998,0.041445,0.045000
z_0011_459.115830.png,#008000,877,0.658285,0.029623,0.045000
z_0011_459.115830.png,#1f618d,1513,1.135673,0.051105,0.045000
z_0011_459.115830.png,#5dade2,1390,1.043348,0.046951,0.045000
z_0011_459.115830.png,#7d6608,1234,0.926253,0.041681,0.045000
z_0011_459.115830.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0012_460.127413.png,#008000,1180,0.885720,0.039857,0.045000
z_0012_460.127413.png,#1f618d,1566,1.175455,0.052895,0.045000
z_0012_460.127413.png,#5dade2,1005,0.754363,0.033946,0.045000
z_0012_460.127413.png,#7d6608,1189,0.892475,0.040161,0.045000
z_0012_460.127413.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0013_461.138996.png,#008000,1511,1.134172,0.051038,0.045000
z_0013_461.138996.png,#1f618d,1556,1.167949,0.052558,0.045000
z_0013_461.138996.png,#5dade2,811,0.608745,0.027394,0.045000
z_0013_461.138996.png,#7d6608,1158,0.869206,0.039114,0.045000
z_0013_461.138996.png,#aed6f1,2,0.001501,0.000068,0.045000
z_0014_462.150579.png,#008000,1952,1.465190,0.065934,0.045000
z_0014_462.150579.png,#1f618d,1557,1.168700,0.052591,0.045000
z_0014_462.150579.png,#5dade2,685,0.514168,0.023138,0.045000
z_0014_462.150579.png,#7d6608,1132,0.849690,0.038236,0.045000
z_0015_463.162162.png,#008000,2543,1.908801,0.085896,0.045000
z_0015_463.162162.png,#1f618d,1533,1.150685,0.051781,0.045000
z_0015_463.162162.png,#5d6d7e,220,0.165134,0.007431,0.045000
