slice_index,original_filename,processed_filename,z_coordinate
1,bandicam 2026-09-09 01-55-30-936.png,z_0001_449.000000.png,449.000000
2,bandicam 2026-09-09 01-55-31-708.png,z_0002_450.011583.png,450.011583
3,bandicam 2026-09-09 01-55-32-551.png,z_0003_451.023166.png,451.023166
4,bandicam 2026-09-09 01-55-33-425.png,z_0004_452.034749.png,452.034749
5,bandicam 2026-09-09 01-55-34-193.png,z_0005_453.046332.png,453.046332
6,bandicam 2026-09-09 01-55-34-910.png,z_0006_454.057915.png,454.057915
7,bandicam 2026-09-09 01-55-35-738.png,z_0007_455.069498.png,455.069498
8,bandicam 2026-09-09 01-55-36-578.png,z_0008_456.081081.png,456.081081
9,bandicam 2026-09-09 01-55-37-530.png,z_0009_457.092664.png,457.092664
10,bandicam 2026-09-09 01-55-38-425.png,z_0010_458.104247.png,458.104247
11,bandicam 2026-09-09 01-55-39-344.png,z_0011_459.115830.png,459.115830
12,bandicam 2026-09-09 01-55-40-690.png,z_0012_460.127413.png,460.127413
13,bandicam 2026-09-09 01-55-41-451.png,z_0013_461.138996.png,461.138996
14,bandicam 2026-09-09 01-55-42-313.png,z_0014_462.150579.png,462.150579
15,bandicam 2026-09-09 01-55-43-157.png,z_0015_463.162162.png,463.162162
16,bandicam 2026-09-09 01-55-43-976.png,z_0016_464.173745.png,464.173745
17,bandicam 2026-09-09 01-55-44-812.png,z_0017_465.185328.png,465.185328
18,bandicam 2026-09-09 01-55-45-692.png,z_0018_466.196911.png,466.196911
19,bandicam 2026-09-09 01-55-46-637.png,z_0019_467.208494.png,467.208494
20,bandicam 2026-09-09 01-55-47-459.png,z_0020_468.220077.png,468.220077
21,bandicam 2026-09-09 01-55-48-327.png,z_0021_469.231660.png,469.231660
22,bandicam 2026-09-09 01-55-49-242.png,z_0022_470.243243.png,470.243243
23,bandicam 2026-09-09 01-55-50-067.png,z_0023_471.254826.png,471.254826
24,bandicam 2026-09-09 01-55-50-887.png,z_0024_472.266409.png,472.266409
25,bandicam 2026-09-09 01-55-51-728.png,z_0025_473.277992.png,473.277992
26,bandicam 2026-09-09 01-55-52-606.png,z_0026_474.289575.png,474.289575
27,bandicam 2026-09-09 01-55-53-511.png,z_0027_475.301158.png,475.301158
28,bandicam 2026-09-09 01-55-54-290.png,z_0028_476.312741.png,476.312741
29,bandicam 2026-09-09 01-55-55-376.png,z_0029_477.324324.png,477.324324
30,bandicam 2026-09-09 01-55-56-337.png,z_0030_478.335907.png,478.335907
31,bandicam 2026-09-09 01-55-57-246.png,z_0031_479.347490.png,479.347490
32,bandicam 2026-09-09 01-55-58-173.png,z_0032_480.359073.png,480.359073
33,bandicam 2026-09-09 01-55-59-112.png,z_0033_481.370656.png,481.370656
34,bandicam 2026-09-09 01-56-00-074.png,z_0034_482.382239.png,482.382239
35,bandicam 2026-09-09 01-56-01-040.png,z_0035_483.393822.png,483.393822
36,bandicam 2026-09-09 01-56-02-045.png,z_0036_484.405405.png,484.405405
37,bandicam 2026-09-09 01-56-03-049.png,z_0037_485.416988.png,485.416988
38,bandicam 2026-09-09 01-56-03-991.png,z_0038_486.428571.png,486.428571
39,bandicam 2026-09-09 01-56-04-992.png,z_0039_487.440154.png,487.440154
40,bandicam 2026-09-09 01-56-05-866.png,z_0040_488.451737.png,488.451737
41,bandicam 2026-09-09 01-56-06-824.png,z_0041_489.463320.png,489.463320
42,bandicam 2026-09-09 01-56-07-642.png,z_0042_490.474903.png,490.474903
43,bandicam 2026-09-09 01-56-08-616.png,z_0043_491.486486.png,491.486486
44,bandicam 2026-09-09 01-56-09-558.png,z_0044_492.498069.png,492.498069
45,bandicam 2026-09-09 01-56-10-590.png,z_0045_493.509653.png,493.509653
46,bandicam 2026-09-09 01-56-11-474.png,z_0046_494.521236.png,494.521236
47,bandicam 2026-09-09 01-56-12-352.png,z_0047_495.532819.png,495.532819
48,bandicam 2026-09-09 01-56-13-328.png,z_0048_496.544402.png,496.544402
49,bandicam 2026-09-09 01-56-14-300.png,z_0049_497.555985.png,497.555985
50,bandicam 2026-09-09 01-56-15-184.png,z_0050_498.567568.png,498.567568
51,bandicam 2026-09-09 01-56-16-152.png,z_0051_499.579151.png,499.579151
52,bandicam 2026-09-09 01-56-17-040.png,z_0052_500.590734.png,500.590734
53,bandicam 2026-09-09 01-56-18-070.png,z_0053_501.602317.png,501.602317
54,bandicam 2026-09-09 01-56-19-136.png,z_0054_502.613900.png,502.613900
55,bandicam 2026-09-09 01-56-20-077.png,z_0055_503.625483.png,503.625483
56,bandicam 2026-09-09 01-56-21-100.png,z_0056_504.637066.png,504.637066
57,bandicam 2026-09-09 01-56-22-059.png,z_0057_505.648649.png,505.648649
58,bandicam 2026-09-09 01-56-23-039.png,z_0058_506.660232.png,506.660232
59,bandicam 2026-09-09 01-56-24-061.png,z_0059_507.671815.png,507.671815
60,bandicam 2026-09-09 01-56-24-978.png,z_0060_508.683398.png,508.683398
61,bandicam 2026-09-09 01-56-25-942.png,z_0061_509.694981.png,509.694981
62,bandicam 2026-09-09 01-56-27-077.png,z_0062_510.706564.png,510.706564
63,bandicam 2026-09-09 01-56-28-159.png,z_0063_511.718147.png,511.718147
64,bandicam 2026-09-09 01-56-30-428.png,z_0064_512.729730.png,512.729730
65,bandicam 2026-09-09 01-56-31-712.png,z_0065_513.741313.png,513.741313
66,bandicam 2026-09-09 01-56-32-589.png,z_0066_514.752896.png,514.752896
67,bandicam 2026-09-09 01-56-33-367.png,z_0067_515.764479.png,515.764479
68,bandicam 2026-09-09 01-56-34-276.png,z_0068_516.776062.png,516.776062
69,bandicam 2026-09-09 01-56-35-201.png,z_0069_517.787645.png,517.787645
70,bandicam 2026-09-09 01-56-36-139.png,z_0070_518.799228.png,518.799228
71,bandicam 2026-09-09 01-56-37-073.png,z_0071_519.810811.png,519.810811
72,bandicam 2026-09-09 01-56-38-066.png,z_0072_520.822394.png,520.822394
73,bandicam 2026-09-09 01-56-38-999.png,z_0073_521.833977.png,521.833977
74,bandicam 2026-09-09 01-56-39-976.png,z_0074_522.845560.png,522.845560
75,bandicam 2026-09-09 01-56-40-919.png,z_0075_523.857143.png,523.857143
76,bandicam 2026-09-09 01-56-41-859.png,z_0076_524.868726.png,524.868726
77,bandicam 2026-09-09 01-56-42-801.png,z_0077_525.880309.png,525.880309
78,bandicam 2026-09-09 01-56-43-636.png,z_0078_526.891892.png,526.891892
79,bandicam 2026-09-09 01-56-44-483.png,z_0079_527.903475.png,527.903475
80,bandicam 2026-09-09 01-56-45-421.png,z_0080_528.915058.png,528.915058
81,bandicam 2026-09-09 01-56-46-366.png,z_0081_529.926641.png,529.926641
82,bandicam 2026-09-09 01-56-47-365.png,z_0082_530.938224.png,530.938224
83,bandicam 2026-09-09 01-56-48-360.png,z_0083_531.949807.png,531.949807
84,bandicam 2026-09-09 01-56-49-390.png,z_0084_532.961390.png,532.961390
85,bandicam 2026-09-09 01-56-50-425.png,z_0085_533.972973.png,533.972973
86,bandicam 2026-09-09 01-56-51-314.png,z_0086_534.984556.png,534.984556
87,bandicam 2026-09-09 01-56-52-233.png,z_0087_535.996139.png,535.996139
88,bandicam 2026-09-09 01-56-53-098.png,z_0088_537.007722.png,537.007722
89,bandicam 2026-09-09 01-56-54-020.png,z_0089_538.019305.png,538.019305
90,bandicam 2026-09-09 01-56-54-939.png,z_0090_539.030888.png,539.030888
91,bandicam 2026-09-09 01-56-55-841.png,z_0091_540.042471.png,540.042471
92,bandicam 2026-09-09 01-56-56-784.png,z_0092_541.054054.png,541.054054
93,bandicam 2026-09-09 01-56-57-690.png,z_0093_542.065637.png,542.065637
94,bandicam 2026-09-09 01-56-58-507.png,z_0094_543.077220.png,543.077220
95,bandicam 2026-09-09 01-56-59-412.png,z_0095_544.088803.png,544.088803
96,bandicam 2026-09-09 01-57-00-390.png,z_0096_545.100386.png,545.100386
97,bandicam 2026-09-09 01-57-01-390.png,z_0097_546.111969.png,546.111969
98,bandicam 2026-09-09 01-57-02-338.png,z_0098_547.123552.png,547.123552
99,bandicam 2026-09-09 01-57-03-320.png,z_0099_548.135135.png,548.135135
100,bandicam 2026-09-09 01-57-04-297.png,z_0100_549.146718.png,549.146718
101,bandicam 2026-09-09 01-57-05-148.png,z_0101_550.158301.png,550.158301
102,bandicam 2026-09-09 01-57-06-045.png,z_0102_551.169884.png,551.169884
103,bandicam 2026-09-09 01-57-06-990.png,z_0103_552.181467.png,552.181467
104,bandicam 2026-09-09 01-57-07-969.png,z_0104_553.193050.png,553.193050
105,bandicam 2026-09-09 01-57-08-890.png,z_0105_554.204633.png,554.204633
106,bandicam 2026-09-09 01-57-09-857.png,z_0106_555.216216.png,555.216216
107,bandicam 2026-09-09 01-57-10-793.png,z_0107_556.227799.png,556.227799
108,bandicam 2026-09-09 01-57-11-787.png,z_0108_557.239382.png,557.239382
109,bandicam 2026-09-09 01-57-12-781.png,z_0109_558.250965.png,558.250965
110,bandicam 2026-09-09 01-57-13-894.png,z_0110_559.262548.png,559.262548
111,bandicam 2026-09-09 01-57-14-848.png,z_0111_560.274131.png,560.274131
112,bandicam 2026-09-09 01-57-15-802.png,z_0112_561.285714.png,561.285714
113,bandicam 2026-09-09 01-57-16-701.png,z_0113_562.297297.png,562.297297
114,bandicam 2026-09-09 01-57-17-630.png,z_0114_563.308880.png,563.308880
115,bandicam 2026-09-09 01-57-18-571.png,z_0115_564.320463.png,564.320463
116,bandicam 2026-09-09 01-57-19-413.png,z_0116_565.332046.png,565.332046
117,bandicam 2026-09-09 01-57-20-416.png,z_0117_566.343629.png,566.343629
118,bandicam 2026-09-09 01-57-21-301.png,z_0118_567.355212.png,567.355212
119,bandicam 2026-09-09 01-57-22-447.png,z_0119_568.366795.png,568.366795
120,bandicam 2026-09-09 01-57-23-363.png,z_0120_569.378378.png,569.378378
121,bandicam 2026-09-09 01-57-24-317.png,z_0121_570.389961.png,570.389961
122,bandicam 2026-09-09 01-57-25-267.png,z_0122_571.401544.png,571.401544
123,bandicam 2026-09-09 01-57-26-137.png,z_0123_572.413127.png,572.413127
124,bandicam 2026-09-09 01-57-27-033.png,z_0124_573.424710.png,573.424710
125,bandicam 2026-09-09 01-57-27-902.png,z_0125_574.436293.png,574.436293
126,bandicam 2026-09-09 01-57-28-783.png,z_0126_575.447876.png,575.447876
127,bandicam 2026-09-09 01-57-29-668.png,z_0127_576.459459.png,576.459459
128,bandicam 2026-09-09 01-57-30-587.png,z_0128_577.471042.png,577.471042
129,bandicam 2026-09-09 01-57-31-584.png,z_0129_578.482625.png,578.482625
130,bandicam 2026-09-09 01-57-32-474.png,z_0130_579.494208.png,579.494208
131,bandicam 2026-09-09 01-57-33-332.png,z_0131_580.505792.png,580.505792
132,bandicam 2026-09-09 01-57-34-276.png,z_0132_581.517375.png,581.517375
133,bandicam 2026-09-09 01-57-35-184.png,z_0133_582.528958.png,582.528958
134,bandicam 2026-09-09 01-57-36-121.png,z_0134_583.540541.png,583.540541
135,bandicam 2026-09-09 01-57-37-090.png,z_0135_584.552124.png,584.552124
136,bandicam 2026-09-09 01-57-38-095.png,z_0136_585.563707.png,585.563707
137,bandicam 2026-09-09 01-57-39-057.png,z_0137_586.575290.png,586.575290
138,bandicam 2026-09-09 01-57-40-037.png,z_0138_587.586873.png,587.586873
139,bandicam 2026-09-09 01-57-41-090.png,z_0139_588.598456.png,588.598456
140,bandicam 2026-09-09 01-57-42-077.png,z_0140_589.610039.png,589.610039
141,bandicam 2026-09-09 01-57-43-024.png,z_0141_590.621622.png,590.621622
142,bandicam 2026-09-09 01-57-44-031.png,z_0142_591.633205.png,591.633205
143,bandicam 2026-09-09 01-57-45-062.png,z_0143_592.644788.png,592.644788
144,bandicam 2026-09-09 01-57-46-093.png,z_0144_593.656371.png,593.656371
145,bandicam 2026-09-09 01-57-47-069.png,z_0145_594.667954.png,594.667954
146,bandicam 2026-09-09 01-57-47-985.png,z_0146_595.679537.png,595.679537
147,bandicam 2026-09-09 01-57-49-006.png,z_0147_596.691120.png,596.691120
148,bandicam 2026-09-09 01-57-49-955.png,z_0148_597.702703.png,597.702703
149,bandicam 2026-09-09 01-57-50-820.png,z_0149_598.714286.png,598.714286
150,bandicam 2026-09-09 01-57-51-721.png,z_0150_599.725869.png,599.725869
151,bandicam 2026-09-09 01-57-52-631.png,z_0151_600.737452.png,600.737452
152,bandicam 2026-09-09 01-57-53-473.png,z_0152_601.749035.png,601.749035
153,bandicam 2026-09-09 01-57-54-431.png,z_0153_602.760618.png,602.760618
154,bandicam 2026-09-09 01-57-55-362.png,z_0154_603.772201.png,603.772201
155,bandicam 2026-09-09 01-57-56-305.png,z_0155_604.783784.png,604.783784
156,bandicam 2026-09-09 01-57-57-282.png,z_0156_605.795367.png,605.795367
157,bandicam 2026-09-09 01-57-58-181.png,z_0157_606.806950.png,606.806950
158,bandicam 2026-09-09 01-57-59-092.png,z_0158_607.818533.png,607.818533
159,bandicam 2026-09-09 01-57-59-885.png,z_0159_608.830116.png,608.830116
160,bandicam 2026-09-09 01-58-00-893.png,z_0160_609.841699.png,609.841699
161,bandicam 2026-09-09 01-58-01-842.png,z_0161_610.853282.png,610.853282
162,bandicam 2026-09-09 01-58-02-747.png,z_0162_611.864865.png,611.864865
163,bandicam 2026-09-09 01-58-03-743.png,z_0163_612.876448.png,612.876448
164,bandicam 2026-09-09 01-58-04-905.png,z_0164_613.888031.png,613.888031
165,bandicam 2026-09-09 01-58-05-908.png,z_0165_614.899614.png,614.899614
166,bandicam 2026-09-09 01-58-06-962.png,z_0166_615.911197.png,615.911197
167,bandicam 2026-09-09 01-58-07-923.png,z_0167_616.922780.png,616.922780
168,bandicam 2026-09-09 01-58-09-021.png,z_0168_617.934363.png,617.934363
169,bandicam 2026-09-09 01-58-10-038.png,z_0169_618.945946.png,618.945946
170,bandicam 2026-09-09 01-58-11-084.png,z_0170_619.957529.png,619.957529
171,bandicam 2026-09-09 01-58-12-098.png,z_0171_620.969112.png,620.969112
172,bandicam 2026-09-09 01-58-13-094.png,z_0172_621.980695.png,621.980695
173,bandicam 2026-09-09 01-58-14-003.png,z_0173_622.992278.png,622.992278
174,bandicam 2026-09-09 01-58-14-991.png,z_0174_624.003861.png,624.003861
175,bandicam 2026-09-09 01-58-15-991.png,z_0175_625.015444.png,625.015444
176,bandicam 2026-09-09 01-58-17-133.png,z_0176_626.027027.png,626.027027
177,bandicam 2026-09-09 01-58-18-034.png,z_0177_627.038610.png,627.038610
178,bandicam 2026-09-09 01-58-18-968.png,z_0178_628.050193.png,628.050193
179,bandicam 2026-09-09 01-58-19-898.png,z_0179_629.061776.png,629.061776
180,bandicam 2026-09-09 01-58-20-910.png,z_0180_630.073359.png,630.073359
181,bandicam 2026-09-09 01-58-21-831.png,z_0181_631.084942.png,631.084942
182,bandicam 2026-09-09 01-58-22-859.png,z_0182_632.096525.png,632.096525
183,bandicam 2026-09-09 01-58-30-154.png,z_0183_633.108108.png,633.108108
184,bandicam 2026-09-09 01-58-31-184.png,z_0184_634.119691.png,634.119691
185,bandicam 2026-09-09 01-58-32-127.png,z_0185_635.131274.png,635.131274
186,bandicam 2026-09-09 01-58-33-075.png,z_0186_636.142857.png,636.142857
187,bandicam 2026-09-09 01-58-34-066.png,z_0187_637.154440.png,637.154440
188,bandicam 2026-09-09 01-58-35-040.png,z_0188_638.166023.png,638.166023
189,bandicam 2026-09-09 01-58-35-996.png,z_0189_639.177606.png,639.177606
190,bandicam 2026-09-09 01-58-37-037.png,z_0190_640.189189.png,640.189189
191,bandicam 2026-09-09 01-58-43-830.png,z_0191_641.200772.png,641.200772
192,bandicam 2026-09-09 01-58-44-817.png,z_0192_642.212355.png,642.212355
193,bandicam 2026-09-09 01-58-45-810.png,z_0193_643.223938.png,643.223938
194,bandicam 2026-09-09 01-58-52-302.png,z_0194_644.235521.png,644.235521
195,bandicam 2026-09-09 01-58-53-114.png,z_0195_645.247104.png,645.247104
196,bandicam 2026-09-09 01-58-53-962.png,z_0196_646.258687.png,646.258687
197,bandicam 2026-09-09 01-58-54-912.png,z_0197_647.270270.png,647.270270
198,bandicam 2026-09-09 01-58-55-795.png,z_0198_648.281853.png,648.281853
199,bandicam 2026-09-09 01-58-56-766.png,z_0199_649.293436.png,649.293436
200,bandicam 2026-09-09 01-58-57-764.png,z_0200_650.305019.png,650.305019
201,bandicam 2026-09-09 01-58-58-766.png,z_0201_651.316602.png,651.316602
202,bandicam 2026-09-09 01-58-59-743.png,z_0202_652.328185.png,652.328185
203,bandicam 2026-09-09 01-59-00-664.png,z_0203_653.339768.png,653.339768
204,bandicam 2026-09-09 01-59-01-612.png,z_0204_654.351351.png,654.351351
205,bandicam 2026-09-09 01-59-02-541.png,z_0205_655.362934.png,655.362934
206,bandicam 2026-09-09 01-59-03-486.png,z_0206_656.374517.png,656.374517
207,bandicam 2026-09-09 01-59-04-437.png,z_0207_657.386100.png,657.386100
208,bandicam 2026-09-09 01-59-05-409.png,z_0208_658.397683.png,658.397683
209,bandicam 2026-09-09 01-59-06-282.png,z_0209_659.409266.png,659.409266
210,bandicam 2026-09-09 01-59-07-338.png,z_0210_660.420849.png,660.420849
211,bandicam 2026-09-09 01-59-08-338.png,z_0211_661.432432.png,661.432432
212,bandicam 2026-09-09 01-59-09-310.png,z_0212_662.444015.png,662.444015
213,bandicam 2026-09-09 01-59-10-319.png,z_0213_663.455598.png,663.455598
214,bandicam 2026-09-09 01-59-11-308.png,z_0214_664.467181.png,664.467181
215,bandicam 2026-09-09 01-59-12-241.png,z_0215_665.478764.png,665.478764
216,bandicam 2026-09-09 01-59-13-272.png,z_0216_666.490347.png,666.490347
217,bandicam 2026-09-09 01-59-14-334.png,z_0217_667.501931.png,667.501931
218,bandicam 2026-09-09 01-59-15-164.png,z_0218_668.513514.png,668.513514
219,bandicam 2026-09-09 01-59-25-110.png,z_0219_669.525097.png,669.525097
220,bandicam 2026-09-09 01-59-26-045.png,z_0220_670.536680.png,670.536680
221,bandicam 2026-09-09 01-59-27-063.png,z_0221_671.548263.png,671.548263
222,bandicam 2026-09-09 01-59-28-506.png,z_0222_672.559846.png,672.559846
223,bandicam 2026-09-09 01-59-29-479.png,z_0223_673.571429.png,673.571429
224,bandicam 2026-09-09 01-59-30-432.png,z_0224_674.583012.png,674.583012
