slice_file,color_hex,area_px,cross_section_area_um2,slice_volume_um3,slice_thickness_um
z_0001_449.000000.png,#0e6251,2231,1.466798,0.066006,0.045000
z_0001_449.000000.png,#1b4f72,91,0.059829,0.002692,0.045000
z_0001_449.000000.png,#2ecc71,2724,1.790927,0.080592,0.045000
z_0001_449.000000.png,#4a235a,2040,1.341223,0.060355,0.045000
z_0001_449.000000.png,#512e5f,1159,0.761999,0.034290,0.045000
z_0001_449.000000.png,#52be80,2293,1.507561,0.067840,0.045000
z_0001_449.000000.png,#5499c7,593,0.389875,0.017544,0.045000
z_0001_449.000000.png,#7b241c,2672,1.756739,0.079053,0.045000
z_0001_449.000000.png,#82e0aa,1021,0.671269,0.030207,0.045000
z_0001_449.000000.png,#9a7d0a,2113,1.389218,0.062515,0.045000
z_0001_449.000000.png,#a3e4d7,325,0.213675,0.009615,0.045000
z_0001_449.000000.png,#bb8fce,4199,2.760684,0.124231,0.045000
z_0001_449.000000.png,#d2b4de,547,0.359632,0.016183,0.045000
z_0001_449.000000.png,#e59866,1797,1.181460,0.053166,0.045000
z_0001_449.000000.png,#f1948a,361,0.237344,0.010680,0.045000
z_0001_449.000000.png,#f7dc6f,647,0.425378,0.019142,0.045000
z_0001_449.000000.png,#f8c471,384,0.252465,0.011361,0.045000
z_0001_449.000000.png,#fad7a0,1096,0.720579,0.032426,0.045000
z_0002_450.011583.png,#0e6251,2202,1.447732,0.065148,0.045000
z_0002_450.011583.png,#1b4f72,84,0.055227,0.002485,0.045000
z_0002_450.011583.png,#2ecc71,2740,1.801446,0.081065,0.045000
z_0002_450.011583.png,#4a235a,1908,1.254438,0.056450,0.045000
z_0002_450.011583.png,#512e5f,1144,0.752137,0.033846,0.045000
z_0002_450.011583.png,#52be80,2491,1.637738,0.073698,0.045000
z_0002_450.011583.png,#5499c7,642,0.422091,0.018994,0.045000
z_0002_450.011583.png,#7b241c,2668,1.754109,0.078935,0.045000
z_0002_450.011583.png,#82e0aa,1015,0.667324,0.030030,0.045000
z_0002_450.011583.png,#9a7d0a,2225,1.462853,0.065828,0.045000
z_0002_450.011583.png,#a3e4d7,337,0.221565,0.009970,0.045000
z_0002_450.011583.png,#a9cce3,1,0.000657,0.000030,0.045000
z_0002_450.011583.png,#bb8fce,4102,2.696910,0.121361,0.045000
z_0002_450.011583.png,#d2b4de,611,0.401709,0.018077,0.045000
z_0002_450.011583.png,#e59866,1724,1.133465,0.051006,0.045000
z_0002_450.011583.png,#f1948a,450,0.295858,0.013314,0.045000
z_0002_450.011583.png,#f7dc6f,666,0.437870,0.019704,0.045000
z_0002_450.011583.png,#f8c471,355,0.233399,0.010503,0.045000
z_0002_450.011583.png,#fad7a0,1006,0.661407,0.029763,0.045000
z_0003_451.023166.png,#0e6251,2162,1.421433,0.063964,0.045000
z_0003_451.023166.png,#1b4f72,86,0.056542,0.002544,0.045000
z_0003_451.023166.png,#2ecc71,2733,1.796844,0.080858,0.045000
z_0003_451.023166.png,#4a235a,1834,1.205786,0.054260,0.045000
z_0003_451.023166.png,#512e5f,1179,0.775148,0.034882,0.045000
z_0003_451.023166.png,#52be80,2688,1.767258,0.079527,0.045000
z_0003_451.023166.png,#5499c7,695,0.456936,0.020562,0.045000
z_0003_451.023166.png,#7b241c,2614,1.718606,0.077337,0.045000
z_0003_451.023166.png,#82e0aa,1028,0.675871,0.030414,0.045000
z_0003_451.023166.png,#9a7d0a,2289,1.504931,0.067722,0.045000
z_0003_451.023166.png,#a3e4d7,336,0.220907,0.009941,0.045000
z_0003_451.023166.png,#bb8fce,3992,2.624589,0.118107,0.045000
z_0003_451.023166.png,#d2b4de,635,0.417488,0.018787,0.045000
z_0003_451.023166.png,#e59866,1640,1.078238,0.048521,0.045000
z_0003_451.023166.png,#f1948a,532,0.349770,0.015740,0.045000
z_0003_451.023166.png,#f7dc6f,643,0.422748,0.019024,0.045000
z_0003_451.023166.png,#f8c471,354,0.232742,0.010473,0.045000
z_0003_451.023166.png,#fad7a0,963,0.633136,0.028491,0.045000
z_0004_452.034749.png,#0e6251,2128,1.399080,0.062959,0.045000
z_0004_452.034749.png,#1b4f72,85,0.055884,0.002515,0.045000
z_0004_452.034749.png,#2ecc71,2747,1.806049,0.081272,0.045000
z_0004_452.034749.png,#4a235a,1815,1.193294,0.053698,0.045000
z_0004_452.034749.png,#512e5f,1232,0.809993,0.036450,0.045000
